unique_id	platform	platform	disease	tissue	cell type	cell line	project	sample	date	descrption
SRX29375967	sra_merge/SRX29375967.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643340	2025	
SRX29375966	sra_merge/SRX29375966.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643341	2025	
SRX29375965	sra_merge/SRX29375965.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643342	2025	
SRX29375964	sra_merge/SRX29375964.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643343	2025	
SRX29375963	sra_merge/SRX29375963.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643344	2025	
SRX29375962	sra_merge/SRX29375962.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643345	2025	
SRX29375961	sra_merge/SRX29375961.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643346	2025	
SRX29375960	sra_merge/SRX29375960.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643347	2025	
SRX29375959	sra_merge/SRX29375959.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643348	2025	
SRX29375958	sra_merge/SRX29375958.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643349	2025	
SRX29375957	sra_merge/SRX29375957.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643350	2025	
SRX29375956	sra_merge/SRX29375956.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643351	2025	
SRX29375955	sra_merge/SRX29375955.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643352	2025	
SRX29375954	sra_merge/SRX29375954.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643353	2025	
SRX29375953	sra_merge/SRX29375953.isoform.gz	PB	meningioma	brain		NA	PRJNA1282209	SAMN49643354	2025	
