##name	path	Tissue	Description
##HG002_pb_chr22	hg002_pb_chr22.isoform.gz	blood	example_pb
##HG002_ont_chr22	hg002_ont_chr22.isoform.gz	blood	example_ont
#chrom	start	end	length	exon_count	trans_id	gene_id	confidence	detected	min_read	positive_count/sample_size	attributes	FORMAT	HG002_pb_chr22	HG002_ont_chr22
22	10524344	10529164	4820	3	ENST00000724296.1	ENSG00000294541.1	0	no	1	0/2	gene_id:ENSG00000294541.1;transcript_id:ENST00000724296.1;gene_type:lncRNA;gene_name:ENSG00000294541;transcript_type:lncRNA;transcript_name:ENST00000724296;level:2;tag:basic;tag:Ensembl_canonical;tag:TAGENE	CPM:COUNT	0:0	0:0
22	10736170	10736283	113	1	ENST00000615943.1	ENSG00000277248.1	0	no	1	0/2	gene_id:ENSG00000277248.1;transcript_id:ENST00000615943.1;gene_type:snRNA;gene_name:U2;transcript_type:snRNA;transcript_name:U2.14-201;level:3;transcript_support_level:NA;tag:basic;tag:Ensembl_canonical	CPM:COUNT	0:0	0:0
22	10742091	10753081	10990	3	ENST00000779065.1	ENSG00000301473.1	0	no	1	0/2	gene_id:ENSG00000301473.1;transcript_id:ENST00000779065.1;gene_type:lncRNA;gene_name:ENSG00000301473;transcript_type:lncRNA;transcript_name:ENST00000779065;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	10752635	10754413	1778	2	ENST00000779294.1	ENSG00000301496.1	0	no	1	0/2	gene_id:ENSG00000301496.1;transcript_id:ENST00000779294.1;gene_type:lncRNA;gene_name:ENSG00000301496;transcript_type:lncRNA;transcript_name:ENST00000779294;level:2;tag:basic;tag:Ensembl_canonical;tag:TAGENE	CPM:COUNT	0:0	0:0
22	10939387	10961338	21951	9	ENST00000635667.1	ENSG00000283047.1	0	no	1	0/2	gene_id:ENSG00000283047.1;transcript_id:ENST00000635667.1;gene_type:transcribed_unprocessed_pseudogene;gene_name:FRG1FP;transcript_type:transcribed_unprocessed_pseudogene;transcript_name:FRG1FP-201;level:2;transcript_support_level:NA;hgnc_id:HGNC:51765;ont:PGO:0000005;ont:PGO:0000019;tag:basic;tag:Ensembl_canonical;havana_gene:OTTHUMG00000191577.1;havana_transcript:OTTHUMT00000488611.1	CPM:COUNT	0:0	0:0
22	10941694	10961556	19862	8	ENST00000796039.1	ENSG00000303605.1	0	no	1	0/2	gene_id:ENSG00000303605.1;transcript_id:ENST00000796039.1;gene_type:lncRNA;gene_name:ENSG00000303605;transcript_type:lncRNA;transcript_name:ENST00000796039;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	10944589	10961586	16997	7	ENST00000796042.1	ENSG00000303605.1	0	no	1	0/2	gene_id:ENSG00000303605.1;transcript_id:ENST00000796042.1;gene_type:lncRNA;gene_name:ENSG00000303605;transcript_type:lncRNA;transcript_name:ENST00000796042;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11066267	11068174	1907	2	ENST00000624155.3	ENSG00000279973.3	0	no	1	0/2	gene_id:ENSG00000279973.3;transcript_id:ENST00000624155.3;gene_type:lncRNA;gene_name:ENSG00000279973;transcript_type:lncRNA;transcript_name:ENST00000624155;level:2;transcript_support_level:1;tag:basic;tag:Ensembl_canonical;tag:TAGENE;havana_gene:OTTHUMG00000192006.1;havana_transcript:OTTHUMT00000491988.1	CPM:COUNT	0:0	0:0
22	11124336	11125705	1369	2	ENST00000422332.1	ENSG00000226444.2	0	no	1	0/2	gene_id:ENSG00000226444.2;transcript_id:ENST00000422332.1;gene_type:processed_pseudogene;gene_name:ACTR3BP7;transcript_type:processed_pseudogene;transcript_name:ACTR3BP7-201;level:1;transcript_support_level:NA;hgnc_id:HGNC:54971;ont:PGO:0000004;tag:pseudo_consens;tag:basic;tag:Ensembl_canonical;havana_gene:OTTHUMG00000140398.2;havana_transcript:OTTHUMT00000277200.2	CPM:COUNT	0:0	0:0
22	11146118	11147823	1705	3	ENST00000720620.1	ENSG00000294022.1	0	no	1	0/2	gene_id:ENSG00000294022.1;transcript_id:ENST00000720620.1;gene_type:lncRNA;gene_name:ENSG00000294022;transcript_type:lncRNA;transcript_name:ENST00000720620;level:2;tag:basic;tag:Ensembl_canonical;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11249808	11249959	151	1	ENST00000612732.1	ENSG00000276871.1	0	no	1	0/2	gene_id:ENSG00000276871.1;transcript_id:ENST00000612732.1;gene_type:rRNA;gene_name:5_8S_rRNA;transcript_type:rRNA;transcript_name:5_8S_rRNA.4-201;level:3;transcript_support_level:NA;tag:basic;tag:Ensembl_canonical	CPM:COUNT	0:0	0:0
22	11474743	11479643	4900	3	ENST00000672261.1	ENSG00000288262.1	0	no	1	0/2	gene_id:ENSG00000288262.1;transcript_id:ENST00000672261.1;gene_type:unprocessed_pseudogene;gene_name:ZNF73P;transcript_type:unprocessed_pseudogene;transcript_name:ZNF73P-201;level:2;hgnc_id:HGNC:13143;ont:PGO:0000005;tag:basic;tag:Ensembl_canonical;havana_gene:OTTHUMG00000195920.1;havana_transcript:OTTHUMT00000529609.1	CPM:COUNT	0:0	0:0
22	11707175	11886438	179263	10	ENST00000849404.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849404.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849404;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11707178	11869574	162396	3	ENST00000849410.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849410.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849410;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11709406	11715712	6306	2	ENST00000849442.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849442.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849442;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11825263	11833819	8556	2	ENST00000849438.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849438.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849438;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11827521	11889435	61914	9	ENST00000849415.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849415.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849415;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11827521	11910358	82837	17	ENST00000657566.2	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000657566.2;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000657566;level:2;tag:RNA_Seq_supported_only;tag:basic;tag:TAGENE;havana_transcript:OTTHUMT00000504859.1	CPM:COUNT	0:0	0:0
22	11827522	11870977	43455	5	ENST00000849423.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849423.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849423;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11859801	11889426	29625	11	ENST00000849431.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849431.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849431;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11859816	11890645	30829	13	ENST00000849426.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849426.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849426;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11859826	11889925	30099	10	ENST00000849428.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849428.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849428;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11897375	11915770	18395	4	ENST00000849433.1	ENSG00000290397.2	0	no	1	0/2	gene_id:ENSG00000290397.2;transcript_id:ENST00000849433.1;gene_type:lncRNA;gene_name:ENSG00000290397;transcript_type:lncRNA;transcript_name:ENST00000849433;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11832620	11974223	141603	6	ENST00000849584.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849584.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849584;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11833181	11974184	141003	5	ENST00000849596.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849596.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849596;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11843098	11974198	131100	7	ENST00000849602.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849602.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849602;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11849155	11974214	125059	5	ENST00000849617.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849617.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849617;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11909004	11974189	65185	4	ENST00000849633.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849633.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849633;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11910580	11974223	63643	5	ENST00000849636.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849636.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849636;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11925291	11974155	48864	4	ENST00000849642.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849642.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849642;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11928501	11974185	45684	4	ENST00000849650.1	ENSG00000310416.1	0	no	1	0/2	gene_id:ENSG00000310416.1;transcript_id:ENST00000849650.1;gene_type:lncRNA;gene_name:ENSG00000310416;transcript_type:lncRNA;transcript_name:ENST00000849650;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	11883601	11904000	20399	7	ENST00000657645.1	ENSG00000286406.2	0	no	1	0/2	gene_id:ENSG00000286406.2;transcript_id:ENST00000657645.1;gene_type:transcribed_unprocessed_pseudogene;gene_name:ENSG00000286406;transcript_type:transcribed_unprocessed_pseudogene;transcript_name:ENST00000657645;level:2;ont:PGO:0000005;ont:PGO:0000019;tag:basic;tag:Ensembl_canonical;havana_gene:OTTHUMG00000193804.1;havana_transcript:OTTHUMT00000504860.1	CPM:COUNT	0:0	0:0
22	12038111	12056544	18433	2	ENST00000736916.1	ENSG00000296155.1	0	no	1	0/2	gene_id:ENSG00000296155.1;transcript_id:ENST00000736916.1;gene_type:lncRNA;gene_name:ENSG00000296155;transcript_type:lncRNA;transcript_name:ENST00000736916;level:2;tag:basic;tag:Ensembl_canonical;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12097901	12116171	18270	3	ENST00000754841.1	ENSG00000298316.1	0	no	1	0/2	gene_id:ENSG00000298316.1;transcript_id:ENST00000754841.1;gene_type:lncRNA;gene_name:ENSG00000298316;transcript_type:lncRNA;transcript_name:ENST00000754841;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12097929	12143202	45273	4	ENST00000754836.1	ENSG00000298316.1	0	no	1	0/2	gene_id:ENSG00000298316.1;transcript_id:ENST00000754836.1;gene_type:lncRNA;gene_name:ENSG00000298316;transcript_type:lncRNA;transcript_name:ENST00000754836;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12097936	12219507	121571	7	ENST00000754820.1	ENSG00000298316.1	0	no	1	0/2	gene_id:ENSG00000298316.1;transcript_id:ENST00000754820.1;gene_type:lncRNA;gene_name:ENSG00000298316;transcript_type:lncRNA;transcript_name:ENST00000754820;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12097962	12143197	45235	5	ENST00000754840.1	ENSG00000298316.1	0	no	1	0/2	gene_id:ENSG00000298316.1;transcript_id:ENST00000754840.1;gene_type:lncRNA;gene_name:ENSG00000298316;transcript_type:lncRNA;transcript_name:ENST00000754840;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12097964	12149250	51286	5	ENST00000754826.1	ENSG00000298316.1	0	no	1	0/2	gene_id:ENSG00000298316.1;transcript_id:ENST00000754826.1;gene_type:lncRNA;gene_name:ENSG00000298316;transcript_type:lncRNA;transcript_name:ENST00000754826;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12097971	12146760	48789	5	ENST00000754833.1	ENSG00000298316.1	0	no	1	0/2	gene_id:ENSG00000298316.1;transcript_id:ENST00000754833.1;gene_type:lncRNA;gene_name:ENSG00000298316;transcript_type:lncRNA;transcript_name:ENST00000754833;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12099177	12132557	33380	3	ENST00000754960.1	ENSG00000298334.1	0	no	1	0/2	gene_id:ENSG00000298334.1;transcript_id:ENST00000754960.1;gene_type:lncRNA;gene_name:ENSG00000298334;transcript_type:lncRNA;transcript_name:ENST00000754960;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12099776	12164859	65083	4	ENST00000754958.1	ENSG00000298334.1	0	no	1	0/2	gene_id:ENSG00000298334.1;transcript_id:ENST00000754958.1;gene_type:lncRNA;gene_name:ENSG00000298334;transcript_type:lncRNA;transcript_name:ENST00000754958;level:2;tag:basic;tag:Ensembl_canonical;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12099778	12164770	64992	5	ENST00000754959.1	ENSG00000298334.1	0	no	1	0/2	gene_id:ENSG00000298334.1;transcript_id:ENST00000754959.1;gene_type:lncRNA;gene_name:ENSG00000298334;transcript_type:lncRNA;transcript_name:ENST00000754959;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
22	12150394	12167083	16689	3	ENST00000754964.1	ENSG00000298334.1	0	no	1	0/2	gene_id:ENSG00000298334.1;transcript_id:ENST00000754964.1;gene_type:lncRNA;gene_name:ENSG00000298334;transcript_type:lncRNA;transcript_name:ENST00000754964;level:2;tag:basic;tag:TAGENE	CPM:COUNT	0:0	0:0
